8160060,8160060
8161737,8161737,8159571,8159725
8162628,8162628
8162742,8161737,8161547,8162220,8161453,8159725,8159571,8162742,8162167,8161626
8162968,8161806,8162968,8161433,8160666,8160060
8163648,8163648,8161735,8162860,8162899,8161587,8163097,8162907
8163814,8163207,8161547,8161806,8162968,8161433,8160666,8163225,8163097,8162220,8161453,8162860,8161587,8162742,8160060,8163648,8162628,8163399,8161735,8161737,8163535,8159571,8162899,8163544,8161626,8162907,8163814,8159725,8162167,8163065
8164056,8164056
8164387,8164387,8164421,8164871,8164877,8164302,8164913,8164602
8164630,8162993,8163131,8164630
8164719,8164387,8200004,8164421,8164871,8164877,8164302,8164719,8164913,8164056,8164602,8164255
8164853,8164512,8164867,8200004,8164387,8164421,8164871,8164808,8200005,8164522,8164877,8164302,8164719,8164913,8164853,8164056,8164602,8164255
8164867,8164512,8164867,8200004,8164387,8164421,8164871,8164808,8164522,8164877,8164302,8164719,8164913,8164056,8164602,8164255
8165087,8164868,8164809,8162993,8164850,8164820,8164982,8164630,8163131,8165087
8165419,8164867,8164871,8164877,8164255,8164512,8164387,8164522,8165419,8164913,8200004,8164421,8200005,8164808,8164302,8164056,8164968,8164719,8164853,8164602
8165492,8163461,8163207,8164105,8161547,8161806,8162968,8161433,8160666,8163225,8163097,8162220,8161453,8162860,8161587,8162742,8164154,8160060,8164541,8163648,8162628,8163399,8161735,8161737,8163535,8159571,8162899,8163544,8161626,8162907,8164186,8163814,8163690,8159725,8163314,8165492,8162167,8163065
8165906,8164867,8164871,8164877,8165906,8164255,8164512,8164387,8164522,8165419,8164913,8200004,8164421,8200005,8164808,8164302,8164056,8164968,8164719,8164853,8164602
8166119,8166119
8166298,8165635,8164868,8163461,8163207,8164105,8165771,8161547,8161806,8164630,8162968,8161433,8166298,8160666,8163225,8163097,8162220,8161453,8162860,8162167,8162993,8161587,8164918,8162742,8164154,8163131,8160060,8164541,8163648,8162628,8163399,8161735,8164809,8161737,8164687,8163535,8159571,8164820,8162899,8163544,8161626,8162907,8165596,8164186,8165087,8163814,8163690,8159725,8164850,8163314,8165492,8164982,8164983,8163065
8166391,8166391
8166473,8164867,8164871,8164877,8165906,8164255,8164512,8164387,8164522,8165419,8164913,8200004,8164421,8200005,8164808,8166473,8164302,8164056,8164968,8164719,8164853,8164602
8166519,8165635,8164868,8163461,8163207,8164105,8165771,8161547,8161806,8164630,8162968,8161433,8166298,8160666,8163225,8163097,8162220,8161453,8162860,8162167,8162993,8161587,8166391,8164918,8166519,8162742,8164154,8163131,8160060,8164541,8163648,8162628,8163399,8161735,8164809,8161737,8164687,8163535,8159571,8164820,8162899,8163544,8161626,8162907,8165596,8164186,8165087,8163814,8163690,8159725,8164850,8163314,8165492,8164982,8164983,8163065
8167002,8164867,8166534,8164871,8164877,8165906,8164255,8164512,8164387,8164522,8165419,8164913,8200004,8164421,8200005,8164808,8166473,8164302,8164056,8167002,8164968,8164719,8164853,8164602
